step,loss
0,4.608957
1,4.607874
2,4.6067514
3,4.604702
4,4.603047
5,4.601396
6,4.5993967
7,4.5986457
8,4.5965514
9,4.595376
10,4.5932546
11,4.5925593
12,4.5901756
13,4.5889754
14,4.588351
15,4.586136
16,4.583484
17,4.581336
18,4.5793176
19,4.5787
20,4.5755134
21,4.5719404
22,4.5714927
23,4.570199
24,4.5680013
25,4.5646825
26,4.5631833
27,4.559977
28,4.5576587
29,4.5570602
30,4.5501924
31,4.5470448
32,4.5441966
33,4.5415416
34,4.539487
35,4.5377264
36,4.532628
37,4.5298314
38,4.5253654
39,4.523287
40,4.517323
41,4.515593
42,4.511926
43,4.506516
44,4.5022
45,4.499447
46,4.4928565
47,4.485853
48,4.484705
49,4.480774
50,4.4736495
51,4.4730844
52,4.479981
53,4.466147
54,4.459482
55,4.454063
56,4.451759
57,4.448287
58,4.4455442
59,4.434827
60,4.4359207
61,4.42521
62,4.424891
63,4.4137025
64,4.4141946
65,4.4109864
66,4.406679
67,4.4123526
68,4.4003983
69,4.3983283
70,4.3947535
71,4.3818226
72,4.389528
73,4.3918343
74,4.380214
75,4.3829274
76,4.371396
77,4.3657207
78,4.3697157
79,4.364552
80,4.362617
81,4.3509083
82,4.3498416
83,4.3571672
84,4.347476
85,4.3539557
86,4.347245
87,4.340874
88,4.3415637
89,4.3376417
90,4.339568
91,4.343228
92,4.33319
93,4.332401
94,4.345594
95,4.3279686
96,4.332164
97,4.3313117
98,4.315253
99,4.3290305
100,4.3210597
101,4.314596
102,4.320417
103,4.3249984
104,4.328594
105,4.318488
106,4.3127284
107,4.312953
108,4.3245873
109,4.3233
110,4.324129
111,4.3296146
112,4.315139
113,4.3126388
114,4.3206496
115,4.311797
116,4.3191833
117,4.302117
118,4.311645
119,4.32485
120,4.3113756
121,4.3021016
122,4.3054595
123,4.3109803
124,4.316962
125,4.3035946
126,4.3077064
127,4.3185897
128,4.3119187
129,4.3215036
130,4.3045025
131,4.306816
132,4.304326
133,4.3048716
134,4.3032837
135,4.3166122
136,4.3077965
137,4.304155
138,4.2970448
139,4.312319
140,4.3013496
141,4.3146434
142,4.3124933
143,4.3099017
144,4.3100095
145,4.302557
146,4.298118
147,4.2961135
148,4.3023286
149,4.30493
150,4.299742
151,4.303734
152,4.3288875
153,4.309003
154,4.301945
155,4.297289
156,4.3026147
157,4.310794
158,4.3096833
159,4.2953315
160,4.3072243
161,4.296295
162,4.297556
163,4.292068
164,4.2973604
165,4.299113
166,4.300601
167,4.3163896
168,4.30257
169,4.303211
170,4.306394
171,4.291011
172,4.3040657
173,4.3155036
174,4.3016863
175,4.31341
176,4.300915
177,4.2951565
178,4.303683
179,4.29539
180,4.3005934
181,4.2929583
182,4.28983
183,4.3051667
184,4.295659
185,4.3013234
186,4.3003864
187,4.2957835
188,4.3003845
189,4.2950063
190,4.2986465
191,4.3078904
192,4.297823
193,4.296576
194,4.313463
195,4.2969904
196,4.304523
197,4.3007584
198,4.2839904
199,4.3002243
200,4.2940807
201,4.286265
202,4.2948956
203,4.3018875
204,4.304305
205,4.296016
206,4.290874
207,4.291156
208,4.306083
209,4.3021364
210,4.305817
211,4.3124604
212,4.2973466
213,4.2940516
214,4.301139
215,4.295643
216,4.303426
217,4.2876496
218,4.298423
219,4.3099713
220,4.297788
221,4.288114
222,4.29121
223,4.2959104
224,4.3040066
225,4.291035
226,4.295569
227,4.3068614
228,4.299436
229,4.309219
230,4.2955093
231,4.297463
232,4.2945404
233,4.296622
234,4.2934914
235,4.3085656
236,4.297643
237,4.295869
238,4.2883472
239,4.3034544
240,4.2941446
241,4.306675
242,4.303984
243,4.3034306
244,4.302799
245,4.2955832
246,4.2921224
247,4.2895966
248,4.2946534
249,4.2990866
250,4.2939963
251,4.2973857
252,4.3226194
253,4.3039384
254,4.296134
255,4.290031
256,4.2978196
257,4.3064013
258,4.3036633
259,4.290895
260,4.3031845
261,4.2923346
262,4.2918053
263,4.2881627
264,4.2937555
265,4.2941465
266,4.296392
267,4.311834
268,4.2980013
269,4.298314
270,4.3035727
271,4.2874045
272,4.3006506
273,4.3113337
274,4.2976785
275,4.310249
276,4.297601
277,4.2914124
278,4.3001175
279,4.2919083
280,4.2979836
281,4.2897367
282,4.2869024
283,4.3020115
284,4.292954
285,4.2969584
286,4.297958
287,4.292649
288,4.2980146
289,4.292186
290,4.296079
291,4.3055983
292,4.295134
293,4.2942185
294,4.311107
295,4.295069
296,4.302185
297,4.298301
298,4.2816052
299,4.2968645
300,4.291623
301,4.284193
302,4.292691
303,4.30014
304,4.301678
305,4.294112
306,4.2886696
307,4.2891192
308,4.3048286
309,4.300174
310,4.3034363
311,4.3109217
312,4.2953854
313,4.2915573
314,4.2991
315,4.2938457
316,4.3012395
317,4.285958
318,4.2970204
319,4.308626
320,4.2959843
321,4.2864313
322,4.289511
323,4.294048
324,4.302508
325,4.2892346
326,4.2940006
327,4.3055553
328,4.297844
329,4.3077073
330,4.294229
331,4.29671
332,4.292615
333,4.295241
334,4.292183
335,4.3076453
336,4.2958646
337,4.294566
338,4.2871685
339,4.3022256
340,4.2930975
341,4.3052797
342,4.302337
343,4.3025556
344,4.3014946
345,4.294369
346,4.291001
347,4.2882476
348,4.293154
349,4.298192
350,4.2929926
351,4.2960663
352,4.321607
353,4.3028193
354,4.295121
355,4.28845
356,4.296947
357,4.3056006
358,4.302419
359,4.2899547
360,4.302804
361,4.2913957
362,4.290646
363,4.2873344
364,4.2930107
365,4.293132
366,4.2953224
367,4.3108745
368,4.296937
369,4.297385
370,4.302731
371,4.28683
372,4.3000093
373,4.3104997
374,4.296746
375,4.3096414
376,4.2969728
